group,subgroup,title,desc,loc,text,date,priority,type
"Publications, Presentations, Grants, and Products",Skills and Experience,Data Cleaning,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Regression Modeling,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Machine Learning,,,,,0.5,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,SQL Server Management Studio,,,,,0.5,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Database Design,,,,,0.5,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Database Administration,,,,,0.5,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,CSS,,,,,3,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,knitr,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Shiny,,,,,1,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Statistical Analysis,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Reproducible Research,,,,,1,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,glm,,,,,0.5,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,nls,,,,,0.5,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,MARS,,,,,0.5,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,caret,,,,,0.5,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Data Visualization,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Experimental Design,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Risk of Bias Assessment,,,,,1,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Clinical Research,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Software Design,,,,,1,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Random Forest,,,,,0.5,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Grant writing,,,,,1,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,IRB,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,HIPAA,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Public Speaking,,,,,1,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Scientific Writing,,,,,1,wordcloud
